Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5
Ba,Pr,Bi,Mn,Al,1,0,0,0.9375,0.0625,1.61,0.5771875,0,0.0334375,1.61,0.54375,2.15375,2.789388197,2.96091954,0,0.057931781,0.015525247,-14,-2.78125,0,-2.6875,-14,-0.09375,-14.09375,5.033707865,149.3333333,0,0.966292135,0.190687361,2,3,0,0.1875,2,2.8125,4.8125,0.666666667,0.711111111,0,0.0625,0.038961039,1000,1482.375,0,58.3125,1000,1424.0625,2424.0625,0.674593136,0.70221637,0,0.039337212,0.024055692,2143,2362.625,0,174.5,2143,2188.125,4331.125,0.907041955,0.979377321,0,0.073858526,0.040289763,137.327,53.19076813,0,1.68634625,137.327,51.50442188,188.8314219,2.581782607,2.666314755,0,0.031703739,0.008930432,3.51,7.171875,0,0.16875,3.51,7.003125,10.513125,0.489411765,0.501204819,0,0.023529412,0.016051364,503,708.3125,0,36.125,503,672.1875,1175.1875,0.710138533,0.748303115,0,0.0510015,0.030739776,0.89,1.55375,0,0.100625,0.89,1.453125,2.343125,0.572807723,0.612473118,0,0.064762671,0.042944785,1920,1885.9375,0,128.125,1920,1757.8125,3677.8125,1.018061309,1.092266667,0,0.067937034,0.034837284,-468.011,-387.3759375,0,-43.809375,-468.011,-343.5665625,-811.5775625,1.208157128,1.362213472,0,0.11309266,0.053980515,1.07647424,0.412276786,247.4264151,0.5,0.07647424,0,1,0,1,0,0,0,0,0.650212,-0.863325,2.292588,-1.423177,-0.863325,0.521935115,2.371031281,0.101004723,4.150284973,2.371031281,11.039976,11.039976,7.794801,90,90,90,950.0386869,1.00512543,1.018768242,0.888711801,P4/mmm,15[D4h],123,16,63.39204,-1.117489,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,Al,1,0,0,0.875,0.125,1.61,0.574375,0,0.066875,1.61,0.5075,2.1175,2.80304679,3.172413793,0,0.116430903,0.031582054,-14,-5.4625,0,-5.375,-14,-0.0875,-14.0875,2.562929062,160,0,0.983981693,0.381543922,2,3,0,0.375,2,2.625,4.625,0.666666667,0.761904762,0,0.125,0.081081081,1000,1445.75,0,116.625,1000,1329.125,2329.125,0.691682518,0.752374683,0,0.080667474,0.050072452,2143,2391.25,0,349,2143,2042.25,4185.25,0.896184004,1.049332844,0,0.145948772,0.083388089,137.327,51.44348625,0,3.3726925,137.327,48.07079375,185.3977938,2.669473047,2.856765809,0,0.065561119,0.018191654,3.51,6.87375,0,0.3375,3.51,6.53625,10.04625,0.510638298,0.537005164,0,0.049099836,0.033594625,503,699.625,0,72.25,503,627.375,1130.375,0.718956584,0.801753337,0,0.103269609,0.063916842,0.89,1.5575,0,0.20125,0.89,1.35625,2.24625,0.571428571,0.656221198,0,0.129213483,0.089593767,1920,1896.875,0,256.25,1920,1640.625,3560.625,1.012191104,1.170285714,0,0.13509061,0.071967702,-468.011,-408.280875,0,-87.61875,-468.011,-320.662125,-788.673125,1.146296652,1.459514434,0,0.214604101,0.111096406,1.078007679,0.410267857,246.2144639,0.5,0.078007679,0,1,0,1,0,0,0,0,0.614715,-0.865752,0.830563,0.042917,-0.865752,0.540795,2.376792762,0.43580386,0.9579909,2.376792762,11.035697,11.035697,7.827267,90,90,90,953.2563,1.001082853,1.010026214,0.885527575,I4/mmm,15[D4h],139,32,59.471706,-1.144546,0,1,0,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,Al,1,0,0,0.8125,0.1875,1.61,0.5715625,0,0.1003125,1.61,0.47125,2.08125,2.816839803,3.416445623,0,0.175505741,0.048198198,-14,-8.14375,0,-8.0625,-14,-0.08125,-14.08125,1.719109747,172.3076923,0,0.990023024,0.572569907,2,3,0,0.5625,2,2.4375,4.4375,0.666666667,0.820512821,0,0.1875,0.126760563,1000,1409.125,0,174.9375,1000,1234.1875,2234.1875,0.70966025,0.810249658,0,0.12414619,0.078300277,2143,2419.875,0,523.5,2143,1896.375,4039.375,0.885582933,1.130050755,0,0.216333488,0.129599257,137.327,49.69620438,0,5.05903875,137.327,44.63716563,181.9641656,2.76332975,3.076517025,0,0.101799299,0.02780239,3.51,6.575625,0,0.50625,3.51,6.069375,9.579375,0.533789564,0.578313253,0,0.076988879,0.052847915,503,690.9375,0,108.375,503,582.5625,1085.5625,0.727996382,0.863426671,0,0.156852103,0.099833036,0.89,1.56125,0,0.301875,0.89,1.259375,2.149375,0.570056045,0.706699752,0,0.193354684,0.140447805,1920,1907.8125,0,384.375,1920,1523.4375,3443.4375,1.006388206,1.260307692,0,0.201474201,0.111625374,-468.011,-429.1858125,0,-131.428125,-468.011,-297.7576875,-765.7686875,1.090462421,1.571784775,0,0.30622663,0.171629014,1.079545493,0.408258929,244.9980431,0.5,0.079545493,0,1,0,1,0,0,0,0,0.540338,-0.952861,3.162155,-0.210938,-0.952861,0.582551317,2.593117967,0.042334412,1.234835793,2.593117967,11.206758,11.206758,7.715567,90,90,90,969.0090532,0.991993265,0.998693237,0.870950467,P4/mmm,15[D4h],123,16,58.566762,-1.282625,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,Al,1,0,0,0.75,0.25,1.61,0.56875,0,0.13375,1.61,0.435,2.045,2.830769231,3.701149425,0,0.235164835,0.065403423,-14,-10.825,0,-10.75,-14,-0.075,-14.075,1.29330254,186.6666667,0,0.993071594,0.763765542,2,3,0,0.75,2,2.25,4.25,0.666666667,0.888888889,0,0.25,0.176470588,1000,1372.5,0,233.25,1000,1139.25,2139.25,0.72859745,0.877770463,0,0.169945355,0.10903354,2143,2448.5,0,698,2143,1750.5,3893.5,0.875229732,1.224221651,0,0.285072493,0.179273148,137.327,47.9489225,0,6.745385,137.327,41.2035375,178.5305375,2.864026819,3.332893444,0,0.140678552,0.037782808,3.51,6.2775,0,0.675,3.51,5.6025,9.1125,0.559139785,0.626506024,0,0.107526882,0.074074074,503,682.25,0,144.5,503,537.75,1040.75,0.737266398,0.935378894,0,0.211799194,0.138842181,0.89,1.565,0,0.4025,0.89,1.1625,2.0525,0.568690096,0.765591398,0,0.257188498,0.196102314,1920,1918.75,0,512.5,1920,1406.25,3326.25,1.000651466,1.365333333,0,0.267100977,0.154077415,-468.011,-450.09075,0,-175.2375,-468.011,-274.85325,-742.86425,1.039814748,1.70276684,0,0.38933815,0.235894378,1.081087701,0.40625,243.7771086,0.5,0.081087701,0,1,0,1,0,0,0,0,0.514852,-0.881778,3.432497,-0.052888,-0.881778,0.597589031,2.415190099,0.032306171,1.054311556,2.415190099,10.98905,10.98905,7.925137,90,90,90,957.0333617,0.993887289,1.004966744,0.881665226,I4/mmm,15[D4h],139,64,52.223263,-1.199998,0,1,0,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,Al,1,0,0,0.6875,0.3125,1.61,0.5659375,0,0.1671875,1.61,0.39875,2.00875,2.844837107,4.037617555,0,0.295416897,0.08322962,-14,-13.50625,0,-13.4375,-14,-0.06875,-14.06875,1.036557149,203.6363636,0,0.994909764,0.955131053,2,3,0,0.9375,2,2.0625,4.0625,0.666666667,0.96969697,0,0.3125,0.230769231,1000,1335.875,0,291.5625,1000,1044.3125,2044.3125,0.748573033,0.957567778,0,0.218255825,0.142621297,2143,2477.125,0,872.5,2143,1604.625,3747.625,0.86511581,1.335514528,0,0.352222839,0.232814116,137.327,46.20164063,0,8.43173125,137.327,37.76990938,175.0969094,2.972340336,3.635883757,0,0.182498525,0.048154655,3.51,5.979375,0,0.84375,3.51,5.135625,8.645625,0.587017874,0.683461117,0,0.141110066,0.097592713,503,673.5625,0,180.625,503,492.9375,995.9375,0.746775541,1.020413338,0,0.268163682,0.181361782,0.89,1.56875,0,0.503125,0.89,1.065625,1.955625,0.567330677,0.835190616,0,0.320717131,0.257270694,1920,1929.6875,0,640.625,1920,1289.0625,3209.0625,0.994979757,1.489454545,0,0.331983806,0.199629954,-468.011,-470.9956875,0,-219.046875,-468.011,-251.9488125,-719.9598125,0.993663026,1.857563826,0,0.465071933,0.304248753,1.082634321,0.404241071,242.5516155,0.5,0.082634321,0,1,0,1,0,0,0,0,0.467453,-0.932792,3.512664,-0.22671,-0.932792,0.626596178,2.541595415,0.029817375,1.25446602,2.541595415,11.193158,11.193158,7.739737,90,90,90,969.6867733,0.994587962,1.001530269,0.869979056,P4/mmm,15[D4h],123,16,48.324078,-1.304212,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,Al,1,0,0,0.625,0.375,1.61,0.563125,0,0.200625,1.61,0.3625,1.9725,2.859045505,4.44137931,0,0.35627081,0.101711027,-14,-16.1875,0,-16.125,-14,-0.0625,-14.0625,0.864864865,224,0,0.996138996,1.146666667,2,3,0,1.125,2,1.875,3.875,0.666666667,1.066666667,0,0.375,0.290322581,1000,1299.25,0,349.875,1000,949.375,1949.375,0.769674812,1.053324556,0,0.269289975,0.179480603,2143,2505.75,0,1047,2143,1458.75,3601.75,0.855232964,1.469065981,0,0.41783897,0.290692025,137.327,44.45435875,0,10.1180775,137.327,34.33628125,171.6632813,3.089168393,3.999472133,0,0.227605971,0.05894142,3.51,5.68125,0,1.0125,3.51,4.66875,8.17875,0.617821782,0.751807229,0,0.178217822,0.123796424,503,664.875,0,216.75,503,448.125,951.125,0.756533183,1.122454672,0,0.326001128,0.227888027,0.89,1.5725,0,0.60375,0.89,0.96875,1.85875,0.565977742,0.918709677,0,0.383942766,0.324815064,1920,1940.625,0,768.75,1920,1171.875,3091.875,0.989371981,1.6384,0,0.396135266,0.248635537,-468.011,-491.900625,0,-262.85625,-468.011,-229.044375,-697.055375,0.951434042,2.043320208,0,0.534368603,0.37709522,1.084185374,0.402232143,241.3215182,0.5,0.084185374,0,1,0,1,0,0,0,0,0.437032,-0.914214,3.091456,-0.067228,-0.914214,0.645950761,2.494813558,0.045435752,1.069539305,2.494813558,11.04245305,11.04245305,7.90744,90,90,91.11917309,964.1054616,0.986800523,0.995857908,0.87483306,Cmcm,8[D2h],63,8,43.951992,-1.307187,0,0,0,0,0,1,0,0,0,0,1,0
Ba,Pr,Bi,Mn,Al,1,0,0,0.5625,0.4375,1.61,0.5603125,0,0.2340625,1.61,0.32625,1.93625,2.873396542,4.9348659,0,0.417735639,0.120884442,-14,-18.86875,0,-18.8125,-14,-0.05625,-14.05625,0.741967539,248.8888889,0,0.99701888,1.33837261,2,3,0,1.3125,2,1.6875,3.6875,0.666666667,1.185185185,0,0.4375,0.355932203,1000,1262.625,0,408.1875,1000,854.4375,1854.4375,0.792000792,1.170360617,0,0.323284823,0.220113916,2143,2534.375,0,1221.5,2143,1312.875,3455.875,0.845573366,1.632295535,0,0.481972873,0.353456071,137.327,42.70707688,0,11.80442375,137.327,30.90265313,168.2296531,3.215556064,4.443857925,0,0.276404395,0.070168508,3.51,5.383125,0,1.18125,3.51,4.201875,7.711875,0.652037618,0.835341365,0,0.219435737,0.153172867,503,656.1875,0,252.875,503,403.3125,906.3125,0.766549195,1.247171858,0,0.385370035,0.27901524,0.89,1.57625,0,0.704375,0.89,0.871875,1.761875,0.564631245,1.02078853,0,0.446867565,0.399787159,1920,1951.5625,0,896.875,1920,1054.6875,2974.6875,0.983827062,1.820444444,0,0.459567654,0.301502259,-468.011,-512.8055625,0,-306.665625,-468.011,-206.1399375,-674.1509375,0.912648057,2.270355787,0,0.598015403,0.454891639,1.085740876,0.400223214,240.0867706,0.5,0.085740876,0,1,0,1,0,0,0,0,0.412179,-0.897825,2.374125,0.098359,-0.897825,0.662205731,2.454259288,0.093095913,0.906323475,2.454259288,11.0448,11.0448,7.806717,90,90,90,952.3227257,1.004155923,1.007690424,0.885472389,P4/mmm,15[D4h],123,16,40.919869,-1.40693,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,Al,1,0,0,0.5,0.5,1.61,0.5575,0,0.2675,1.61,0.29,1.9,2.887892377,5.551724138,0,0.479820628,0.140789474,-14,-21.55,0,-21.5,-14,-0.05,-14.05,0.649651972,280,0,0.997679814,1.53024911,2,3,0,1.5,2,1.5,3.5,0.666666667,1.333333333,0,0.5,0.428571429,1000,1226,0,466.5,1000,759.5,1759.5,0.815660685,1.316655695,0,0.38050571,0.26513214,2143,2563,0,1396,2143,1167,3310,0.836129536,1.836332476,0,0.54467421,0.421752266,137.327,40.959795,0,13.49077,137.327,27.469025,164.796025,3.352726741,4.999340166,0,0.32936615,0.081863443,3.51,5.085,0,1.35,3.51,3.735,7.245,0.690265487,0.939759036,0,0.265486726,0.186335404,503,647.5,0,289,503,358.5,861.5,0.776833977,1.40306834,0,0.446332046,0.335461405,0.89,1.58,0,0.805,0.89,0.775,1.665,0.563291139,1.148387097,0,0.509493671,0.483483483,1920,1962.5,0,1025,1920,937.5,2857.5,0.978343949,2.048,0,0.522292994,0.358705162,-468.011,-533.7105,0,-350.475,-468.011,-183.2355,-651.2465,0.876900492,2.55415026,0,0.656676232,0.538160282,1.087300849,0.398214286,238.8473256,0.5,0.087300849,0,1,0,1,0,0,0,0,0.394573,-0.886069,1.55994,-0.51112,-0.886069,0.673967762,2.425575947,0.21014868,1.667157366,2.425575947,11.06029,11.06029,7.821424,90,90,90,956.7949143,0.998759727,0.997036735,0.881149778,I4/mmm,15[D4h],139,128,35.689638,-1.371236,0,1,0,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,As,1,0,0,0.9375,0.0625,1.61,0.5725,0,0.02875,1.61,0.54375,2.15375,2.812227074,2.96091954,0,0.050218341,0.01334881,-14,-4.96875,0,-4.875,-14,-0.09375,-14.09375,2.817610063,149.3333333,0,0.981132075,0.345898004,2,3.125,0,0.3125,2,2.8125,4.8125,0.64,0.711111111,0,0.1,0.064935065,1000,1492.1875,0,68.125,1000,1424.0625,2424.0625,0.670157068,0.70221637,0,0.04565445,0.028103648,2143,2243.5625,0,55.4375,2143,2188.125,4331.125,0.955177313,0.979377321,0,0.024709586,0.012799792,137.327,56.18702188,0,4.6826,137.327,51.50442188,188.8314219,2.444105336,2.666314755,0,0.08333953,0.02479778,3.51,7.3610625,0,0.3579375,3.51,7.003125,10.513125,0.476833338,0.501204819,0,0.048625793,0.034046727,503,731.375,0,59.1875,503,672.1875,1175.1875,0.687745684,0.748303115,0,0.080926337,0.050364304,0.89,1.589375,0,0.13625,0.89,1.453125,2.343125,0.559968541,0.612473118,0,0.085725521,0.05814884,1920,1777.325,0,19.5125,1920,1757.8125,3677.8125,1.080275133,1.092266667,0,0.010978577,0.005305464,-468.011,-357.45425,0,-13.8876875,-468.011,-343.5665625,-811.5775625,1.309289231,1.362213472,0,0.03885165,0.017111966,1.079032401,0.408928571,251.5581718,0.4375,0.079032401,0,1,0,1,0,0,0,0,0.646279,-0.921857,2.240083,0.290225,-0.921857,0.523991928,2.513954471,0.106449669,0.748095227,2.513954471,11.129378,11.129378,7.766418,90,90,90,961.9722573,1.00371152,1.009934826,0.8774441,P4/mmm,15[D4h],123,16,63.259009,-1.079816,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Mn,As,1,0,0,0.875,0.125,1.61,0.565,0,0.0575,1.61,0.5075,2.1175,2.849557522,3.172413793,0,0.101769912,0.027154664,-14,-9.8375,0,-9.75,-14,-0.0875,-14.0875,1.423125794,160,0,0.991105464,0.692102928,2,3.25,0,0.625,2,2.625,4.625,0.615384615,0.761904762,0,0.192307692,0.135135135,1000,1465.375,0,136.25,1000,1329.125,2329.125,0.682419176,0.752374683,0,0.092979613,0.058498363,2143,2153.125,0,110.875,2143,2042.25,4185.25,0.995297533,1.049332844,0,0.05149492,0.026491846,137.327,57.43599375,0,9.3652,137.327,48.07079375,185.3977938,2.390957151,2.856765809,0,0.163054548,0.050514085,3.51,7.252125,0,0.715875,3.51,6.53625,10.04625,0.48399607,0.537005164,0,0.098712446,0.071257932,503,745.75,0,118.375,503,627.375,1130.375,0.67448877,0.801753337,0,0.158732819,0.104721884,0.89,1.62875,0,0.2725,0.89,1.35625,2.24625,0.546431312,0.656221198,0,0.167306216,0.1213133,1920,1679.65,0,39.025,1920,1640.625,3560.625,1.143095288,1.170285714,0,0.023234007,0.010960154,-468.011,-348.4375,0,-27.775375,-468.011,-320.662125,-788.673125,1.343170583,1.459514434,0,0.079714081,0.035217854,1.083150845,0.403571429,254.5318315,0.375,0.083150845,0,1,0,1,0,0,0,0,0.634176,-0.950278,1.750209,0.52144,-0.950278,0.530372335,2.586428587,0.173737628,0.593665054,2.586428587,11.035527,11.035527,7.948353,90,90,90,967.9731302,0.99992071,1.003779691,0.87158134,I4/mmm,15[D4h],139,32,59.601638,-1.066679,0,1,0,0,0,0,0,0,1,0,0,0
