Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5,Ef
Fe,Fe,Fe,Fe,Al,1,0,0,0.75,0.25,1.61,0.5875,0,0.17875,1.61,0.40875,2.01875,2.740425532,3.93883792,0,0.304255319,0.088544892,-14,-53.1375,0,-5.1375,-14,-48,-62,0.263467419,0.291666667,0,0.096683133,0.082862903,2,3.25,0,1,2,2.25,4.25,0.615384615,0.888888889,0,0.307692308,0.235294118,1000,1905.25,0,579.25,1000,1326,2326,0.524865503,0.754147813,0,0.304028343,0.249032674,2143,3594.75,0,1194.75,2143,2400,4543,0.596147159,0.892916667,0,0.332359691,0.262987013,137.327,77.91415,0,33.71425,137.327,44.1999,181.5269,1.762542491,3.106952731,0,0.432710233,0.185725917,3.51,9.152625,0,2.477625,3.51,6.675,10.185,0.383496538,0.525842697,0,0.270701028,0.24326215,503,732.375,0,162.375,503,570,1073,0.686806622,0.88245614,0,0.221710189,0.151328052,0.89,1.73875,0,0.32875,0.89,1.41,2.3,0.51186197,0.631205674,0,0.18907261,0.142934783,1920,2040,0,686.25,1920,1353.75,3273.75,0.941176471,1.418282548,0,0.336397059,0.209621993,-468.011,-379.34775,0,-235.91925,-468.011,-143.4285,-611.4395,1.23372552,3.263026525,0,0.621907603,0.385842344,1.07088876,0.419642857,270.6661442,0.375,0.07088876,0,1,0,0,0,1,0,0,0.585707,-4.264855,2.118687,1.245112,-4.611891,1.796260493,0.014053905,8.320205882,3.47332379,0.009933017,10.805898,10.805898,7.595365,90,90,90,886.891263,1.001166852,0.998416892,0.823951137,123,15 [ D4h ],P4/mmm,16,46.159493,-4.77819,0,0,0,0,0,0,0,0,0,0,0,0,-2.42016
Fe,Fe,Fe,Al,Al,1,0,0,0.5,0.5,1.61,0.63,0,0.3575,1.61,0.2725,1.8825,2.555555556,5.908256881,0,0.567460317,0.189907039,-14,-42.275,0,-10.275,-14,-32,-46,0.331164991,0.4375,0,0.243051449,0.223369565,2,3.5,0,2,2,1.5,3.5,0.571428571,1.333333333,0,0.571428571,0.571428571,1000,2042.5,0,1158.5,1000,884,1884,0.489596083,1.131221719,0,0.567197062,0.614915074,2143,3989.5,0,2389.5,2143,1600,3743,0.537160045,1.339375,0,0.598947236,0.638391664,137.327,96.8951,0,67.4285,137.327,29.4666,166.7936,1.417274971,4.660429096,0,0.695891743,0.404263113,3.51,9.40525,0,4.95525,3.51,4.45,7.96,0.373195821,0.788764045,0,0.526859998,0.622518844,503,704.75,0,324.75,503,380,883,0.713728272,1.323684211,0,0.460801703,0.367780294,0.89,1.5975,0,0.6575,0.89,0.94,1.83,0.557120501,0.946808511,0,0.411580595,0.359289617,1920,2275,0,1372.5,1920,902.5,2822.5,0.843956044,2.127423823,0,0.603296703,0.486271036,-468.011,-567.4575,0,-471.8385,-468.011,-95.619,-563.63,0.824750752,4.894539788,0,0.831495751,0.837142274,1.048468676,0.45,280.2238119,0.25,0.048468676,0,1,0,0,0,1,0,0,0.556952,-4.17527,2.379643,0.377921,-4.567675,1.745344574,0.015371041,10.8010462,1.459247658,0.01038207,10.780208,10.780208,7.587613,90,90,90,881.7783934,1.002971989,1.009524082,0.827938357,139,15 [ D4h ],I4/mmm,32,43.544104,-4.714496,0,0,0,0,0,0,0,0,0,0,0,0,-2.497281
Fe,Fe,Al,Al,Al,1,0,0,0.75,0.25,1.61,0.5625,0,0.15375,1.61,0.40875,2.01875,2.862222222,3.93883792,0,0.273333333,0.076160991,-14,-67.75,0,-19.75,-14,-48,-62,0.206642066,0.291666667,0,0.291512915,0.318548387,2,3.625,0,1.375,2,2.25,4.25,0.551724138,0.888888889,0,0.379310345,0.323529412,1000,2031.75,0,705.75,1000,1326,2326,0.492186539,0.754147813,0,0.34736065,0.303417885,2143,3641.125,0,1241.125,2143,2400,4543,0.588554362,0.892916667,0,0.340863057,0.273195025,137.327,67.8081975,0,23.6082975,137.327,44.1999,181.5269,2.025227112,3.106952731,0,0.348162883,0.130053989,3.51,9.03125,0,2.35625,3.51,6.675,10.185,0.388650519,0.525842697,0,0.260899654,0.231345115,503,737,0,167,503,570,1073,0.682496608,0.88245614,0,0.226594301,0.155638397,0.89,1.88,0,0.47,0.89,1.41,2.3,0.473404255,0.631205674,0,0.25,0.204347826,1920,1642.5,0,288.75,1920,1353.75,3273.75,1.168949772,1.418282548,0,0.175799087,0.088201604,-468.011,-303.624375,0,-160.195875,-468.011,-143.4285,-611.4395,1.541414453,3.263026525,0,0.527612037,0.261997916,1.084530655,0.401785714,265.9960863,0.1875,0.084530655,0,1,0,0,0,1,0,0,0.504277,-4.249223,2.329092,1.577685,-4.693437,1.655787953,0.014275322,10.2686134,4.843729588,0.009155166,10.742795,10.742795,7.663285,90,90,90,884.4016703,0.999730792,1.005761512,0.824694558,123,15 [ D4h ],P4/mmm,16,40.177857,-4.785164,0,0,0,0,0,0,0,0,0,0,0,0,-2.598323
Fe,Al,Al,Al,Al,1,0,0,0.875,0.125,1.61,0.55375,0,0.076875,1.61,0.476875,2.086875,2.90744921,3.376146789,0,0.138826185,0.036837376,-14,-65.875,0,-9.875,-14,-56,-70,0.212523719,0.25,0,0.149905123,0.141071429,2,3.3125,0,0.6875,2,2.625,4.625,0.603773585,0.761904762,0,0.20754717,0.148648649,1000,1899.875,0,352.875,1000,1547,2547,0.526350418,0.646412411,0,0.185735904,0.138545347,2143,3420.5625,0,620.5625,2143,2800,4943,0.626505144,0.765357143,0,0.181421184,0.125543698,137.327,63.37069875,0,11.80414875,137.327,51.56655,188.89355,2.16704254,2.663102341,0,0.1862714,0.06249101,3.51,8.965625,0,1.178125,3.51,7.7875,11.2975,0.391495295,0.450722311,0,0.131404671,0.104281921,503,748.5,0,83.5,503,665,1168,0.672010688,0.756390977,0,0.111556446,0.071489726,0.89,1.88,0,0.235,0.89,1.645,2.535,0.473404255,0.541033435,0,0.125,0.09270217,1920,1723.75,0,144.375,1920,1579.375,3499.375,1.113850616,1.215670756,0,0.083756345,0.041257367,-468.011,-247.4311875,0,-80.0979375,-468.011,-167.33325,-635.34425,1.891479424,2.796879879,0,0.323718034,0.126070138,1.089387799,0.395535714,263.389717,0.34375,0.089387799,0,1,0,0,0,1,0,0,0.470846,-4.308425,1.864998,1.228863,-4.848482,1.601348361,0.013454724,6.455922974,3.417341809,0.00784027,10.763052,10.763052,7.615259,90,90,90,882.1766442,1.001165368,1.007428385,0.825984613,139,15 [ D4h ],I4/mmm,64,37.02918,-4.859476,0,0,0,0,0,0,0,0,0,0,0,0,-2.680121
Al,Al,Al,Al,Al,1,0,0,0.75,0.25,1.61,0.614375,0,0.205625,1.61,0.40875,2.01875,2.620549339,3.93883792,0,0.334689725,0.101857585,-14,-54,0,-6,-14,-48,-62,0.259259259,0.291666667,0,0.111111111,0.096774194,2,3,0,0.75,2,2.25,4.25,0.666666667,0.888888889,0,0.25,0.176470588,1000,1777.625,0,451.625,1000,1326,2326,0.562548344,0.754147813,0,0.254060896,0.194163801,2143,3240.125,0,840.125,2143,2400,4543,0.661394236,0.892916667,0,0.259287836,0.184927361,137.327,60.93262,0,16.73272,137.327,44.1999,181.5269,2.253751767,3.106952731,0,0.274610217,0.092177633,3.51,7.607125,0,0.932125,3.51,6.675,10.185,0.461409534,0.525842697,0,0.122533151,0.091519391,503,724.125,0,154.125,503,570,1073,0.694631452,0.88245614,0,0.212843086,0.143639329,0.89,1.7325,0,0.3225,0.89,1.41,2.3,0.513708514,0.631205674,0,0.186147186,0.140217391,1920,1991.75,0,638,1920,1353.75,3273.75,0.963976403,1.418282548,0,0.320321325,0.194883543,-468.011,-349.62975,0,-206.20125,-468.011,-143.4285,-611.4395,1.338590323,3.263026525,0,0.589770321,0.337239007,1.056601383,0.438839286,247.6055214,0.5,0.056601383,0,1,0,0,0,1,0,0,0.428134,-4.198997,3.123249,0.351222,-4.768388,1.534391676,0.015010625,22.72007739,1.420802709,0.008494062,10.781064,10.781064,7.553307,90,90,90,877.9310014,0.999466461,1.008717528,0.829185236,123,15 [ D4h ],P4/mmm,16,34.184648,-4.795893,0,0,0,0,0,0,0,0,0,0,0,0,-2.7712
Al,Al,Al,Al,Al,1,0,0,0.875,0.125,1.61,0.5796875,0,0.1028125,1.61,0.476875,2.086875,2.777358491,3.376146789,0,0.177358491,0.049266247,-14,-59,0,-3,-14,-56,-70,0.237288136,0.25,0,0.050847458,0.042857143,2,3,0,0.375,2,2.625,4.625,0.666666667,0.761904762,0,0.125,0.081081081,1000,1772.8125,0,225.8125,1000,1547,2547,0.564075445,0.646412411,0,0.127375286,0.088658225,2143,3220.0625,0,420.0625,2143,2800,4943,0.665515033,0.765357143,0,0.13045166,0.084981287,137.327,59.93291,0,8.36636,137.327,51.56655,188.89355,2.291345439,2.663102341,0,0.139595424,0.044291401,3.51,8.2535625,0,0.4660625,3.51,7.7875,11.2975,0.425270906,0.450722311,0,0.05646804,0.041253596,503,742.0625,0,77.0625,503,665,1168,0.677840478,0.756390977,0,0.103849069,0.065978168,0.89,1.80625,0,0.16125,0.89,1.645,2.535,0.492733564,0.541033435,0,0.089273356,0.063609467,1920,1898.375,0,319,1920,1579.375,3499.375,1.011391322,1.215670756,0,0.168038454,0.091159136,-468.011,-270.433875,0,-103.100625,-468.011,-167.33325,-635.34425,1.730593107,2.796879879,0,0.381241533,0.162275215,1.075114841,0.4140625,253.8712208,0.5,0.075114841,0,1,0,0,0,1,0,0,0.397319,-3.953758,2.279894,0.543119,-4.555597,1.487830472,0.019182478,9.775644136,1.721367443,0.010508225,10.76274811,10.76274811,7.611254,90,90,90.15793277,881.6612283,0.992270021,1.005420477,0.824886579,63,8 [ D2h ],Cmcm,8,30.725782,-4.558868,0,0,0,0,0,0,0,0,0,0,0,0,-2.850382
Al,Al,Al,Al,Al,1,0,0,0.75,0.25,1.61,0.6115,0,0.20275,1.61,0.40875,2.01875,2.632869992,3.93883792,0,0.331561733,0.100433437,-14,-54.2625,0,-6.2625,-14,-48,-62,0.258005068,0.291666667,0,0.115411196,0.101008065,2,3.125,0,0.875,2,2.25,4.25,0.64,0.888888889,0,0.28,0.205882353,1000,1849.875,0,523.875,1000,1326,2326,0.540577066,0.754147813,0,0.28319481,0.225225709,2143,3364.5,0,964.5,2143,2400,4543,0.636944568,0.892916667,0,0.286669639,0.212304645,137.327,86.82365,0,42.62375,137.327,44.1999,181.5269,1.581677343,3.106952731,0,0.490923268,0.234806797,3.51,9.407625,0,2.732625,3.51,6.675,10.185,0.373101606,0.525842697,0,0.290469167,0.268298969,503,724,0,154,503,570,1073,0.694751381,0.88245614,0,0.212707182,0.143522833,0.89,1.725,0,0.315,0.89,1.41,2.3,0.515942029,0.631205674,0,0.182608696,0.136956522,1920,2002.5,0,648.75,1920,1353.75,3273.75,0.958801498,1.418282548,0,0.323970037,0.198167239,-468.011,-362.85925,0,-219.43075,-468.011,-143.4285,-611.4395,1.289786605,3.263026525,0,0.604726902,0.358875653,1.058111564,0.436785714,274.2807541,0.4375,0.058111564,0,1,0,0,0,1,0,0,0.350369,-3.678693,2.918871,0.78728,-4.303197,1.419591281,0.025255963,18.52036616,2.197411331,0.01352525,10.75707,10.75707,7.597058,90,90,90,879.0901857,0.995880345,1.0032792,0.826506332,123,15 [ D4h ],P4/mmm,16,27.795849,-4.282496,0,0,0,0,0,0,0,0,0,0,0,0,-2.945698
Al,Al,Al,Al,Al,1,0,0,0.75,0.25,1.61,0.585,0,0.17625,1.61,0.40875,2.01875,2.752136752,3.93883792,0,0.301282051,0.087306502,-14,-55.6875,0,-7.6875,-14,-48,-62,0.251402918,0.291666667,0,0.138047138,0.123991935,2,3.375,0,1.125,2,2.25,4.25,0.592592593,0.888888889,0,0.333333333,0.264705882,1000,2055.3125,0,729.3125,1000,1326,2326,0.486544017,0.754147813,0,0.354842633,0.313547936,2143,3700.6875,0,1300.6875,2143,2400,4543,0.57908159,0.892916667,0,0.351471855,0.286305855,137.327,83.68424313,0,39.48434313,137.327,44.1999,181.5269,1.641013826,3.106952731,0,0.4718253,0.217512353,3.51,10.076375,0,3.401375,3.51,6.675,10.185,0.348339557,0.525842697,0,0.33755939,0.333959254,503,750.1875,0,180.1875,503,570,1073,0.670499042,0.88245614,0,0.240189953,0.167928705,0.89,1.7675,0,0.3575,0.89,1.41,2.3,0.503536068,0.631205674,0,0.202263083,0.155434783,1920,1879,0,525.25,1920,1353.75,3273.75,1.021820117,1.418282548,0,0.279536988,0.160442917,-468.011,-350.51,0,-207.0815,-468.011,-143.4285,-611.4395,1.335228667,3.263026525,0,0.590800548,0.338678643,1.072237487,0.417857143,277.189423,0.3125,0.072237487,0,1,0,0,0,1,0,0,0.32039,-2.741234,2.272296,0.861545,-3.330447,1.377664949,0.064490716,9.701650251,2.366814599,0.035777109,10.731121,10.731121,7.595831,90,90,90,874.7127908,1.001690629,1.013375442,0.829845753,139,15 [ D4h ],I4/mmm,128,24.502285,-3.345154,0,0,0,0,0,0,0,0,0,0,0,0,-3.024044
Fe,Fe,Fe,Fe,As,1,0,0,0.625,0.375,1.61,0.580625,0,0.24,1.61,0.340625,1.950625,2.772874058,4.726605505,0,0.413347686,0.123037488,-14,-61.9375,0,-21.9375,-14,-40,-54,0.226034309,0.35,0,0.354187689,0.40625,2,3.75,0,1.875,2,1.875,3.875,0.533333333,1.066666667,0,0.5,0.483870968,1000,2237.5,0,1132.5,1000,1105,2105,0.446927374,0.904977376,0,0.506145251,0.538004751,2143,4015.25,0,2015.25,2143,2000,4143,0.533715211,1.0715,0,0.50189901,0.486422882,137.327,88.18092375,0,51.34767375,137.327,36.83325,174.16025,1.557332291,3.728343277,0,0.582299114,0.294830042,3.51,10.29125,0,4.72875,3.51,5.5625,9.0725,0.34106644,0.631011236,0,0.459492287,0.521217966,503,739.9375,0,264.9375,503,475,978,0.679787144,1.058947368,0,0.35805389,0.270897239,0.89,1.75625,0,0.58125,0.89,1.175,2.065,0.506761566,0.757446809,0,0.330960854,0.281476998,1920,1767.5,0,639.375,1920,1128.125,3048.125,1.086280057,1.701939058,0,0.361739745,0.209760098,-468.011,-417.171375,0,-297.647625,-468.011,-119.52375,-587.53475,1.121867482,3.91563183,0,0.71349005,0.50660429,1.074605951,0.414732143,282.8826103,0.125,0.074605951,0,1,0,0,0,1,0,0,0.580138,-4.92904,2.267857,1.745952,-4.963501,1.786284921,0.007233444,9.658680068,5.731355129,0.006988419,10.811023,10.811023,7.621328,90,90,90,890.7672378,1.007147136,1.006269334,0.820365897,123,15 [ D4h ],P4/mmm,16,49.066284,-5.40324,0,0,0,0,0,0,0,0,0,0,0,0,-2.37221
Fe,Fe,Fe,As,As,1,0,0,0.75,0.25,1.61,0.575,0,0.16625,1.61,0.40875,2.01875,2.8,3.93883792,0,0.289130435,0.082352941,-14,-65.25,0,-17.25,-14,-48,-62,0.214559387,0.291666667,0,0.264367816,0.278225806,2,3.375,0,1.125,2,2.25,4.25,0.592592593,0.888888889,0,0.333333333,0.264705882,1000,1800.375,0,474.375,1000,1326,2326,0.555439839,0.754147813,0,0.263486774,0.20394454,2143,3475.75,0,1075.75,2143,2400,4543,0.616557578,0.892916667,0,0.309501546,0.236792868,137.327,81.657135,0,37.457235,137.327,44.1999,181.5269,1.681751386,3.106952731,0,0.458713559,0.206345368,3.51,9.67,0,2.995,3.51,6.675,10.185,0.362978283,0.525842697,0,0.309720786,0.294059892,503,753.75,0,183.75,503,570,1073,0.667330017,0.88245614,0,0.243781095,0.171248835,0.89,1.8425,0,0.4325,0.89,1.41,2.3,0.483039349,0.631205674,0,0.234735414,0.188043478,1920,1841.25,0,487.5,1920,1353.75,3273.75,1.042769857,1.418282548,0,0.264765784,0.148911798,-468.011,-297.117125,0,-153.688625,-468.011,-143.4285,-611.4395,1.575173427,3.263026525,0,0.517266129,0.251355408,1.077666537,0.410714286,277.4825435,0.3125,0.077666537,0,1,0,0,0,1,0,0,0.535999,-5.058188,2.881604,1.287729,-4.743066,1.709154835,0.006357068,17.8428702,3.624545858,0.008711895,10.828716,10.828716,7.625371,90,90,90,894.1593167,1.002362326,1.008800122,0.816474358,139,15 [ D4h ],I4/mmm,32,52.298247,-5.402762,0,0,0,0,0,0,0,0,0,0,0,0,-2.411197
