Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5
Ba,Pr,Bi,Co,Al,1,0,0,0.9375,0.0625,1.61,0.544375,0,0.0334375,1.61,0.5109375,2.1209375,2.957520092,3.151070336,0,0.061423651,0.015765434,-14,-62.6875,0,-2.6875,-14,-60,-74,0.22333001,0.233333333,0,0.042871386,0.036317568,2,3,0,0.1875,2,2.8125,4.8125,0.666666667,0.711111111,0,0.0625,0.038961039,1000,1715.8125,0,58.3125,1000,1657.5,2657.5,0.582814264,0.60331825,0,0.033985357,0.021942615,2143,3174.5,0,174.5,2143,3000,5143,0.67506694,0.714333333,0,0.054969287,0.033929613,137.327,56.93622125,0,1.68634625,137.327,55.249875,192.576875,2.4119444,2.485562185,0,0.029618162,0.008756743,3.51,8.5125,0,0.16875,3.51,8.34375,11.85375,0.412334802,0.420674157,0,0.019823789,0.014236001,503,748.625,0,36.125,503,712.5,1215.5,0.671898481,0.705964912,0,0.048255134,0.02972028,0.89,1.863125,0,0.100625,0.89,1.7625,2.6525,0.47769205,0.504964539,0,0.054008722,0.03793591,1920,1820.3125,0,128.125,1920,1692.1875,3612.1875,1.054763948,1.134626039,0,0.070386266,0.035470196,-468.011,-223.095,0,-43.809375,-468.011,-179.285625,-647.296625,2.09781035,2.61042122,0,0.196370941,0.067680524,1.094640392,0.388839286,258.7749519,0.5,0.094640392,0,1,0,0,0,1,0,0,0.304725,-1.478885,1.730246,1.522328,-2.443839,0.737326111,4.388050276,0.177240803,0.218203318,11.5171704,11.05609,11.05609,7.830454,90,90,90,957.1721929,0.981952883,0.974513573,0.879906963,P4/mmm,15[D4h],123,16,85.459351,-2.046352,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,Al,1,0,0,0.875,0.125,1.61,0.54375,0,0.066875,1.61,0.476875,2.086875,2.96091954,3.376146789,0,0.122988506,0.032045523,-14,-61.375,0,-5.375,-14,-56,-70,0.228105906,0.25,0,0.087576375,0.076785714,2,3,0,0.375,2,2.625,4.625,0.666666667,0.761904762,0,0.125,0.081081081,1000,1663.625,0,116.625,1000,1547,2547,0.601097002,0.646412411,0,0.070102938,0.045789164,2143,3149,0,349,2143,2800,4943,0.680533503,0.765357143,0,0.110828835,0.070604896,137.327,54.9392425,0,3.3726925,137.327,51.56655,188.89355,2.499615826,2.663102341,0,0.061389498,0.01785499,3.51,8.125,0,0.3375,3.51,7.7875,11.2975,0.432,0.450722311,0,0.041538462,0.029873866,503,737.25,0,72.25,503,665,1168,0.682265175,0.756390977,0,0.097999322,0.061857877,0.89,1.84625,0,0.20125,0.89,1.645,2.535,0.482058226,0.541033435,0,0.109004739,0.07938856,1920,1835.625,0,256.25,1920,1579.375,3499.375,1.045965271,1.215670756,0,0.139598229,0.073227362,-468.011,-254.952,0,-87.61875,-468.011,-167.33325,-635.34425,1.835682795,2.796879879,0,0.343667632,0.13790752,1.094992366,0.388392857,256.7893039,0.5,0.094992366,0,1,0,0,0,1,0,0,0.29241,-1.447551,1.956405,0.090563,-2.638679,0.746462424,4.252686922,0.141365718,0.913416787,13.99470439,11.073142,11.073142,7.842974,90,90,90,961.6621297,0.977383618,0.993180385,0.875760631,I4/mmm,15[D4h],139,32,74.853446,-2.10243,0,1,0,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,Al,1,0,0,0.8125,0.1875,1.61,0.543125,0,0.1003125,1.61,0.4428125,2.0528125,2.964326812,3.635850388,0,0.184695052,0.048865885,-14,-60.0625,0,-8.0625,-14,-52,-66,0.233090531,0.269230769,0,0.134235172,0.122159091,2,3,0,0.5625,2,2.4375,4.4375,0.666666667,0.820512821,0,0.1875,0.126760563,1000,1611.4375,0,174.9375,1000,1436.5,2436.5,0.620563937,0.696136443,0,0.108559904,0.071798687,2143,3123.5,0,523.5,2143,2600,4743,0.686089323,0.824230769,0,0.167600448,0.110373182,137.327,52.94226375,0,5.05903875,137.327,47.883225,185.210225,2.593901172,2.867956367,0,0.095557658,0.027315116,3.51,7.7375,0,0.50625,3.51,7.23125,10.74125,0.453634895,0.485393258,0,0.06542811,0.047131386,503,725.875,0,108.375,503,617.5,1120.5,0.692956776,0.814574899,0,0.149302566,0.096720214,0.89,1.829375,0,0.301875,0.89,1.5275,2.4175,0.486504954,0.582651391,0,0.165015374,0.124870734,1920,1850.9375,0,384.375,1920,1466.5625,3386.5625,1.037312173,1.309183891,0,0.207665035,0.113500046,-468.011,-286.809,0,-131.428125,-468.011,-155.380875,-623.391875,1.631786311,3.012024485,0,0.458242681,0.210827459,1.095344567,0.387946429,254.801457,0.5,0.095344567,0,1,0,0,0,1,0,0,0.28037,-1.386288,1.824003,-0.034021,-2.583801,0.755504153,3.999974556,0.161378458,1.034606333,13.24739594,11.078412,11.078412,7.848432,90,90,90,963.2475751,0.983613871,0.990731656,0.87428114,P4/mmm,15[D4h],123,16,68.981331,-2.095168,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,Al,1,0,0,0.75,0.25,1.61,0.5425,0,0.13375,1.61,0.40875,2.01875,2.967741935,3.93883792,0,0.246543779,0.06625387,-14,-58.75,0,-10.75,-14,-48,-62,0.238297872,0.291666667,0,0.182978723,0.173387097,2,3,0,0.75,2,2.25,4.25,0.666666667,0.888888889,0,0.25,0.176470588,1000,1559.25,0,233.25,1000,1326,2326,0.641333975,0.754147813,0,0.14959115,0.10027945,2143,3098,0,698,2143,2400,4543,0.691736604,0.892916667,0,0.225306649,0.153642967,137.327,50.945285,0,6.745385,137.327,44.1999,181.5269,2.695578207,3.106952731,0,0.1324045,0.037159148,3.51,7.35,0,0.675,3.51,6.675,10.185,0.47755102,0.525842697,0,0.091836735,0.066273932,503,714.5,0,144.5,503,570,1073,0.703988803,0.88245614,0,0.202239328,0.134669152,0.89,1.8125,0,0.4025,0.89,1.41,2.3,0.491034483,0.631205674,0,0.222068966,0.175,1920,1866.25,0,512.5,1920,1353.75,3273.75,1.028801072,1.418282548,0,0.274614869,0.156548301,-468.011,-318.666,0,-175.2375,-468.011,-143.4285,-611.4395,1.468656838,3.263026525,0,0.549909623,0.286598265,1.095696994,0.3875,252.8114057,0.5,0.095696994,0,1,0,0,0,1,0,0,0.268758,-1.35252,2.166928,0.134288,-2.534616,0.764328201,3.867158501,0.11452891,0.874338219,12.61158707,11.034892,11.034892,7.81572,90,90,90,951.7111695,0.988823749,0.998781453,0.884840455,I4/mmm,15[D4h],139,64,64.882022,-2.117293,0,1,0,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,Al,1,0,0,0.625,0.375,1.61,0.54125,0,0.200625,1.61,0.340625,1.950625,2.974595843,4.726605505,0,0.370669746,0.10285165,-14,-56.125,0,-16.125,-14,-40,-54,0.249443207,0.35,0,0.287305122,0.298611111,2,3,0,1.125,2,1.875,3.875,0.666666667,1.066666667,0,0.375,0.290322581,1000,1454.875,0,349.875,1000,1105,2105,0.687344274,0.904977376,0,0.240484578,0.166211401,2143,3047,0,1047,2143,2000,4143,0.703314736,1.0715,0,0.343616672,0.252715424,137.327,46.9513275,0,10.1180775,137.327,36.83325,174.16025,2.924880026,3.728343277,0,0.215501415,0.058096365,3.51,6.575,0,1.0125,3.51,5.5625,9.0725,0.533840304,0.631011236,0,0.153992395,0.111600992,503,691.75,0,216.75,503,475,978,0.727141308,1.058947368,0,0.313335743,0.221625767,0.89,1.77875,0,0.60375,0.89,1.175,2.065,0.50035137,0.757446809,0,0.339423753,0.292372881,1920,1896.875,0,768.75,1920,1128.125,3048.125,1.012191104,1.701939058,0,0.405271829,0.252204224,-468.011,-382.38,0,-262.85625,-468.011,-119.52375,-587.53475,1.223942152,3.91563183,0,0.687421544,0.447388431,1.09640253,0.386607143,248.8246673,0.5,0.09640253,0,1,0,0,0,1,0,0,0.245061,-1.315934,1.85168,-0.064433,-2.385927,0.782656795,3.728231528,0.15697323,1.066554117,10.86913368,11.08859911,11.08859911,7.852338,90,90,89.97691339,965.500122,0.987329923,0.991581513,0.872127549,Cmcm,8[D2h],63,8,61.471374,-2.048424,0,0,0,0,0,1,0,0,0,0,1,0
Ba,Pr,Bi,Co,Al,1,0,0,0.5625,0.4375,1.61,0.540625,0,0.2340625,1.61,0.3065625,1.9165625,2.978034682,5.251783894,0,0.432947977,0.122126203,-14,-54.8125,0,-18.8125,-14,-36,-50,0.255416192,0.388888889,0,0.343215507,0.37625,2,3,0,1.3125,2,1.6875,3.6875,0.666666667,1.185185185,0,0.4375,0.355932203,1000,1402.6875,0,408.1875,1000,994.5,1994.5,0.712917168,1.005530417,0,0.291003876,0.204656556,2143,3021.5,0,1221.5,2143,1800,3943,0.709250372,1.190555556,0,0.404269403,0.3097895,137.327,44.95434875,0,11.80442375,137.327,33.149925,170.476925,3.054810131,4.142603641,0,0.262586915,0.069243528,3.51,6.1875,0,1.18125,3.51,5.00625,8.51625,0.567272727,0.701123596,0,0.190909091,0.138705416,503,680.375,0,252.875,503,427.5,930.5,0.739298181,1.176608187,0,0.371670035,0.271762493,0.89,1.761875,0,0.704375,0.89,1.0575,1.9475,0.505143668,0.841607565,0,0.399787159,0.361681643,1920,1912.1875,0,896.875,1920,1015.3125,2935.3125,1.004085635,1.891043398,0,0.469030887,0.305546684,-468.011,-414.237,0,-306.665625,-468.011,-107.571375,-575.582375,1.129814575,4.350702034,0,0.740314421,0.532791896,1.096755639,0.386160714,246.8279688,0.5,0.096755639,0,1,0,0,0,1,0,0,0.23346,-1.267746,1.795388,0.08337,-2.192614,0.791789267,3.552835439,0.166063007,0.92001068,8.958600316,11.095178,11.095178,7.857921,90,90,90,967.3334512,0.980725071,0.980577196,0.870436776,P4/mmm,15[D4h],123,16,57.831748,-2.080554,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,Al,1,0,0,0.5,0.5,1.61,0.54,0,0.2675,1.61,0.2725,1.8825,2.981481481,5.908256881,0,0.49537037,0.142098274,-14,-53.5,0,-21.5,-14,-32,-46,0.261682243,0.4375,0,0.401869159,0.467391304,2,3,0,1.5,2,1.5,3.5,0.666666667,1.333333333,0,0.5,0.428571429,1000,1350.5,0,466.5,1000,884,1884,0.740466494,1.131221719,0,0.345427619,0.247611465,2143,2996,0,1396,2143,1600,3743,0.715287049,1.339375,0,0.465954606,0.372962864,137.327,42.95737,0,13.49077,137.327,29.4666,166.7936,3.196820476,4.660429096,0,0.314050185,0.080883019,3.51,5.8,0,1.35,3.51,4.45,7.96,0.605172414,0.788764045,0,0.232758621,0.16959799,503,669,0,289,503,380,883,0.75186846,1.323684211,0,0.431988042,0.327293318,0.89,1.745,0,0.805,0.89,0.94,1.83,0.510028653,0.946808511,0,0.461318052,0.43989071,1920,1927.5,0,1025,1920,902.5,2822.5,0.996108949,2.127423823,0,0.531776913,0.363153233,-468.011,-446.094,0,-350.475,-468.011,-95.619,-563.63,1.049130901,4.894539788,0,0.7856528,0.621817504,1.097108975,0.385714286,244.8290432,0.5,0.097108975,0,1,0,0,0,1,0,0,0.222169,-1.263447,2.056539,-0.011035,-1.979735,0.800780021,3.537594584,0.127895852,1.01109611,7.240823913,11.072578,11.072578,7.843531,90,90,90,961.6324588,0.989828018,0.990357468,0.875559012,I4/mmm,15[D4h],139,128,55.577947,-1.971486,0,1,0,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,As,1,0,0,0.9375,0.0625,1.61,0.5396875,0,0.02875,1.61,0.5109375,2.1209375,2.983207875,3.151070336,0,0.053271569,0.013555326,-14,-64.875,0,-4.875,-14,-60,-74,0.215799615,0.233333333,0,0.075144509,0.065878378,2,3.125,0,0.3125,2,2.8125,4.8125,0.64,0.711111111,0,0.1,0.064935065,1000,1725.625,0,68.125,1000,1657.5,2657.5,0.579500181,0.60331825,0,0.03947845,0.025634995,2143,3055.4375,0,55.4375,2143,3000,5143,0.701372553,0.714333333,0,0.018143883,0.010779214,137.327,59.932475,0,4.6826,137.327,55.249875,192.576875,2.29136207,2.485562185,0,0.078131264,0.024315484,3.51,8.7016875,0,0.3579375,3.51,8.34375,11.85375,0.403370036,0.420674157,0,0.041134263,0.03019614,503,771.6875,0,59.1875,503,712.5,1215.5,0.651818255,0.705964912,0,0.076698793,0.048693953,0.89,1.89875,0,0.13625,0.89,1.7625,2.6525,0.468729427,0.504964539,0,0.071757735,0.051366635,1920,1711.7,0,19.5125,1920,1692.1875,3612.1875,1.121691885,1.134626039,0,0.011399486,0.005401851,-468.011,-193.1733125,0,-13.8876875,-468.011,-179.285625,-647.296625,2.422751849,2.61042122,0,0.071892371,0.021454905,1.097285728,0.385491071,263.1106874,0.4375,0.097285728,0,1,0,0,0,1,0,0,0.317945,-1.422759,2.028981,0.277233,-2.372603,0.727642808,4.148550516,0.13146942,0.757877891,10.72527387,11.065728,11.065728,7.820513,90,90,90,957.6244459,0.995379827,0.992004032,0.879247361,P4/mmm,15[D4h],123,16,82.828127,-2.039698,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,As,1,0,0,0.8125,0.1875,1.61,0.5290625,0,0.08625,1.61,0.4428125,2.0528125,3.043118724,3.635850388,0,0.163024217,0.042015527,-14,-66.625,0,-14.625,-14,-52,-66,0.210131332,0.269230769,0,0.219512195,0.221590909,2,3.375,0,0.9375,2,2.4375,4.4375,0.592592593,0.820512821,0,0.277777778,0.211267606,1000,1640.875,0,204.375,1000,1436.5,2436.5,0.609430944,0.696136443,0,0.124552449,0.083880566,2143,2766.3125,0,166.3125,2143,2600,4743,0.774677481,0.824230769,0,0.060120648,0.035064832,137.327,61.931025,0,14.0478,137.327,47.883225,185.210225,2.217418491,2.867956367,0,0.226829767,0.075847864,3.51,8.3050625,0,1.0738125,3.51,7.23125,10.74125,0.422633785,0.485393258,0,0.129296137,0.099970907,503,795.0625,0,177.5625,503,617.5,1120.5,0.632654666,0.814574899,0,0.223331499,0.158467202,0.89,1.93625,0,0.40875,0.89,1.5275,2.4175,0.459651388,0.582651391,0,0.211103938,0.169079628,1920,1525.1,0,58.5375,1920,1466.5625,3386.5625,1.25893384,1.309183891,0,0.038382729,0.017285227,-468.011,-197.0439375,0,-41.6630625,-468.011,-155.380875,-623.391875,2.375160616,3.012024485,0,0.211440469,0.066832861,1.103329421,0.377901786,267.9049922,0.3125,0.103329421,0,1,0,0,0,1,0,0,0.317357,-1.358001,2.00693,0.046046,-2.20092,0.728070787,3.888412591,0.134400652,0.954998031,9.033320332,11.102885,11.102885,7.849866,90,90,90,967.6848156,0.986848078,1.007791509,0.869547648,P4/mmm,15[D4h],123,16,74.12353,-2.007177,0,0,1,0,0,0,0,0,1,0,0,0
Ba,Pr,Bi,Co,As,1,0,0,0.75,0.25,1.61,0.52375,0,0.115,1.61,0.40875,2.01875,3.07398568,3.93883792,0,0.219570406,0.056965944,-14,-67.5,0,-19.5,-14,-48,-62,0.207407407,0.291666667,0,0.288888889,0.314516129,2,3.5,0,1.25,2,2.25,4.25,0.571428571,0.888888889,0,0.357142857,0.294117647,1000,1598.5,0,272.5,1000,1326,2326,0.625586487,0.754147813,0,0.170472318,0.117153912,2143,2621.75,0,221.75,2143,2400,4543,0.817392963,0.892916667,0,0.08458091,0.048811358,137.327,62.9303,0,18.7304,137.327,44.1999,181.5269,2.182207935,3.106952731,0,0.297637227,0.103182504,3.51,8.10675,0,1.43175,3.51,6.675,10.185,0.432972523,0.525842697,0,0.176612083,0.140574374,503,806.75,0,236.75,503,570,1073,0.623489309,0.88245614,0,0.293461419,0.220643057,0.89,1.955,0,0.545,0.89,1.41,2.3,0.455242967,0.631205674,0,0.278772379,0.236956522,1920,1431.8,0,78.05,1920,1353.75,3273.75,1.340969409,1.418282548,0,0.054511803,0.023841161,-468.011,-198.97925,0,-55.55075,-468.011,-143.4285,-611.4395,2.352059323,3.263026525,0,0.279178608,0.090852406,1.106376302,0.374107143,270.3484742,0.25,0.106376302,0,1,0,0,0,1,0,0,0.316198,-1.444323,2.277205,0.316996,-2.568854,0.728915111,4.238981381,0.102570491,0.728333668,13.05085958,11.090894,11.090894,7.848023,90,90,90,965.3690616,0.987193554,1.011689158,0.871353489,I4/mmm,15[D4h],139,64,63.796618,-2.214413,0,1,0,0,0,0,0,0,1,0,0,0
