Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5,Temperature,Polarization Resistance
Ba,Pr,Bi,Co,Bi,0.5,0.5,0,0.9375,0.0625,1.465,0.5584375,0.66,0.0475,0.805,0.5109375,1.3159375,2.623391158,1.575535168,0.450511945,0.085058758,0.537639516,-32,-65.6875,-25,-5.6875,-7,-60,-67,0.48715509,0.116666667,0.78125,0.086584206,0.458022388,2.5,3.125,1.5,0.3125,1,2.8125,3.8125,0.8,0.355555556,0.6,0.1,0.475409836,1102,1691.5,602,34.0,500,1657.5,2157.5,0.651492758,0.301659125,0.546279492,0.020100503,0.294785632,2853,3114.8125,1781.5,114.8125,1071.5,3000.0,4071.5,0.915945984,0.357166667,0.624430424,0.036860164,0.465752794,139.117325,68.31115,70.453825,13.061275,68.6635,55.249875,123.913375,2.036524418,1.242781092,0.506434587,0.191202681,0.673979706,5.075,8.955,3.32,0.61125,1.755,8.34375,10.09875,0.566722501,0.210337079,0.654187192,0.068257956,0.389280852,515,756.4375,263.5,43.9375,251.5,712.5,964.0,0.680822936,0.352982456,0.511650485,0.058084772,0.318918568,1.01,1.88875,0.565,0.12625,0.445,1.7625,2.2075,0.534745202,0.25248227,0.559405941,0.06684315,0.313137033,2210,1743.6875,1250,51.5,960,1692.1875,2652.1875,1.26742894,0.567313019,0.56561086,0.029535109,0.490726994,-623.504,-189.728625,-389.4985,-10.443,-234.0055,-179.285625,-413.291125,3.286293779,1.30521061,0.624692865,0.055041773,0.967699222,1.034427153,0.398883929,282.3970467,0.1875,0.034427153,0,0,1,0,0,1,0,0,0.142805,-1.835152,2.809447,-0.707418,-1.97521,0.866923102,6.266086518,0.060238295,2.028746267,7.208133203,10.886309,10.886309,7.7322,90,90,90,916.3563496,0.99259921,1.002064016,0.808482202,P4mm,13[C4v],99,8,107.04634,-2.274227,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.905502314
Ba,Pr,Bi,Co,Ga,0.5,0.5,0,0.9375,0.0625,1.465,0.5496875,0.66,0.03875,0.805,0.5109375,1.3159375,2.665150654,1.575535168,0.450511945,0.070494599,0.530990264,-32,-61.8125,-25,-1.8125,-7,-60,-67,0.517694641,0.116666667,0.78125,0.029322548,0.400186567,2.5,3.0,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1676.4375,602,18.9375,500,1657.5,2157.5,0.657346307,0.301659125,0.546279492,0.011296276,0.287804171,2853,3154.8125,1781.5,154.8125,1071.5,3000.0,4071.5,0.904332666,0.357166667,0.624430424,0.049071855,0.475577183,139.117325,59.6075625,70.453825,4.3576875,68.6635,55.249875,123.913375,2.333887164,1.242781092,0.506434587,0.073106286,0.603740415,5.075,8.71275,3.32,0.369,1.755,8.34375,10.09875,0.582479699,0.210337079,0.654187192,0.042351726,0.365292734,515,748.6875,263.5,36.1875,251.5,712.5,964.0,0.68787044,0.352982456,0.511650485,0.048334586,0.310879149,1.01,1.875625,0.565,0.113125,0.445,1.7625,2.2075,0.538487171,0.25248227,0.559405941,0.060313229,0.307191393,2210,1804.375,1250,112.1875,960,1692.1875,2652.1875,1.224800831,0.567313019,0.56561086,0.062175268,0.513609049,-623.504,-204.495375,-389.4985,-25.20975,-234.0055,-179.285625,-413.291125,3.048988272,1.30521061,0.624692865,0.123277849,1.003428878,1.039069558,0.392633929,274.9369106,0.25,0.039069558,0,0,1,0,0,1,0,0,0.136168,-1.916413,3.029695,-0.003335,-2.104695,0.872696007,6.79653552,0.048330377,1.003340567,8.204600225,10.867347,10.867347,7.685725,90,90,90,907.6782108,0.992060175,0.992180189,0.815285988,P4mm,13[C4v],99,8,102.296335,-2.330863,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.875130297
Ba,Pr,Bi,Co,Hf,0.5,0.5,0,0.9375,0.0625,1.465,0.5553125,0.66,0.044375,0.805,0.5109375,1.3159375,2.638154192,1.575535168,0.450511945,0.079909961,0.535264783,-32,-60.00625,-25,-0.00625,-7,-60,-67,0.533277784,0.116666667,0.78125,0.000104156,0.373227612,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1814.125,602,156.625,500,1657.5,2157.5,0.607455385,0.301659125,0.546279492,0.086336388,0.351622248,2853,3304.75,1781.5,304.75,1071.5,3000.0,4071.5,0.863302822,0.357166667,0.624430424,0.09221575,0.512403291,139.117325,66.4055,70.453825,11.155625,68.6635,55.249875,123.913375,2.094966908,1.242781092,0.506434587,0.167992486,0.658600817,5.075,9.175625,3.32,0.831875,1.755,8.34375,10.09875,0.553095838,0.210337079,0.654187192,0.090661399,0.411127615,515,753.6875,263.5,41.1875,251.5,712.5,964.0,0.683307074,0.352982456,0.511650485,0.054647981,0.316065871,1.01,1.84375,0.565,0.08125,0.445,1.7625,2.2075,0.54779661,0.25248227,0.559405941,0.044067797,0.292751982,2210,1867.8125,1250,175.625,960,1692.1875,2652.1875,1.183202275,0.567313019,0.56561086,0.094027104,0.537527984,-623.504,-238.920375,-389.4985,-59.63475,-234.0055,-179.285625,-413.291125,2.609672783,1.30521061,0.624692865,0.249600939,1.086723675,1.036080385,0.396651786,281.0777348,0.21875,0.036080385,0,0,1,0,0,1,0,0,0.12714,-1.741964,3.708728,-0.633792,-1.954228,0.880610379,5.708544001,0.024508678,1.884743995,7.058467783,10.900518,10.900518,7.710026,90,90,90,916.1152558,0.989840332,1.004586358,0.808324313,P4mm,13[C4v],99,8,107.626947,-2.204242,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.958433814
Ba,Pr,Bi,Co,In,0.5,0.5,0,0.9375,0.0625,1.465,0.5609375,0.66,0.05,0.805,0.5109375,1.3159375,2.611699164,1.575535168,0.450511945,0.08913649,0.539539302,-32,-61.8125,-25,-1.8125,-7,-60,-67,0.517694641,0.116666667,0.78125,0.029322548,0.400186567,2.5,3.0,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1684.375,602,26.875,500,1657.5,2157.5,0.654248609,0.301659125,0.546279492,0.015955473,0.291483198,2853,3146.5625,1781.5,146.5625,1071.5,3000.0,4071.5,0.906703744,0.357166667,0.624430424,0.046578608,0.473550903,139.117325,62.426,70.453825,7.176125,68.6635,55.249875,123.913375,2.228515763,1.242781092,0.506434587,0.114954106,0.62648564,5.075,8.800625,3.32,0.456875,1.755,8.34375,10.09875,0.576663589,0.210337079,0.654187192,0.051913927,0.373994306,515,747.375,263.5,34.875,251.5,712.5,964.0,0.689078441,0.352982456,0.511650485,0.046663322,0.309517635,1.01,1.87375,0.565,0.11125,0.445,1.7625,2.2075,0.539026017,0.25248227,0.559405941,0.059372915,0.306342016,2210,1811.5625,1250,119.375,960,1692.1875,2652.1875,1.219941349,0.567313019,0.56561086,0.065896153,0.516319076,-623.504,-199.270875,-389.4985,-19.98525,-234.0055,-179.285625,-413.291125,3.128926894,1.30521061,0.624692865,0.100291877,0.990787668,1.033108362,0.400669643,275.2750025,0.25,0.033108362,0,0,1,0,0,1,0,0,0.145906,-1.84693,2.917606,0.15487,-2.185285,0.864238938,6.340324816,0.054062959,0.856526519,8.893182749,10.897463,10.897463,7.728711,90,90,90,917.8207549,0.989012434,0.990688011,0.807525519,P4mm,13[C4v],99,8,102.209984,-2.326972,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.754817644
Ba,Pr,Bi,Co,Mo,0.5,0.5,0,0.9375,0.0625,1.465,0.5478125,0.66,0.036875,0.805,0.5109375,1.3159375,2.674272675,1.575535168,0.450511945,0.067313177,0.529565424,-32,-64.5,-25,-4.5,-7,-60,-67,0.496124031,0.116666667,0.78125,0.069767442,0.440298507,2.5,3.1875,1.5,0.375,1,2.8125,3.8125,0.784313725,0.355555556,0.6,0.117647059,0.491803279,1102,1838.5,602,181.0,500,1657.5,2157.5,0.599401686,0.301659125,0.546279492,0.098449823,0.362920046,2853,3307.0,1781.5,307.0,1071.5,3000.0,4071.5,0.862715452,0.357166667,0.624430424,0.092833384,0.512955913,139.117325,61.247375,70.453825,5.9975,68.6635,55.249875,123.913375,2.271400611,1.242781092,0.506434587,0.097922564,0.616973955,5.075,8.98625,3.32,0.6425,1.755,8.34375,10.09875,0.564751704,0.210337079,0.654187192,0.071498122,0.392375294,515,755.25,263.5,42.75,251.5,712.5,964.0,0.681893413,0.352982456,0.511650485,0.056603774,0.317686722,1.01,1.8975,0.565,0.135,0.445,1.7625,2.2075,0.532279315,0.25248227,0.559405941,0.071146245,0.317100793,2210,1742.1875,1250,50.0,960,1692.1875,2652.1875,1.268520179,0.567313019,0.56561086,0.028699552,0.490161423,-623.504,-212.0135,-389.4985,-32.727875,-234.0055,-179.285625,-413.291125,2.940869331,1.30521061,0.624692865,0.154366939,1.021619748,1.040069785,0.391294643,277.237479,0.15625,0.040069785,0,0,1,0,0,1,0,0,0.112919,-1.979755,4.829757,-1.941443,-2.148381,0.893223008,7.24096873,0.007988462,6.968799697,8.570970757,10.88853,10.88853,7.687747,90,90,90,911.4599421,0.992982748,1.005340425,0.811751868,P4mm,13[C4v],99,8,105.27509,-2.403135,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.868644844
Ba,Pr,Bi,Co,Sb,0.5,0.5,0,0.9375,0.0625,1.465,0.5484375,0.66,0.0375,0.805,0.5109375,1.3159375,2.671225071,1.575535168,0.450511945,0.068376068,0.53004037,-32,-66.4375,-25,-6.4375,-7,-60,-67,0.481655691,0.116666667,0.78125,0.096895579,0.469216418,2.5,3.125,1.5,0.3125,1,2.8125,3.8125,0.8,0.355555556,0.6,0.1,0.475409836,1102,1714.0,602,56.5,500,1657.5,2157.5,0.64294049,0.301659125,0.546279492,0.032963827,0.305214368,2853,3116.25,1781.5,116.25,1071.5,3000.0,4071.5,0.915523466,0.357166667,0.624430424,0.037304452,0.466105858,139.117325,62.859875,70.453825,7.61,68.6635,55.249875,123.913375,2.213133975,1.242781092,0.506434587,0.12106292,0.629987078,5.075,8.7623125,3.32,0.4185625,1.755,8.34375,10.09875,0.579185004,0.210337079,0.654187192,0.047768497,0.37020052,515,764.625,263.5,52.125,251.5,712.5,964.0,0.673532778,0.352982456,0.511650485,0.068170672,0.327411826,1.01,1.890625,0.565,0.128125,0.445,1.7625,2.2075,0.534214876,0.25248227,0.559405941,0.067768595,0.31398641,2210,1733.1875,1250,41.0,960,1692.1875,2652.1875,1.275107281,0.567313019,0.56561086,0.023655836,0.486767998,-623.504,-197.257125,-389.4985,-17.9715,-234.0055,-179.285625,-413.291125,3.160869348,1.30521061,0.624692865,0.091106975,0.985915195,1.039736162,0.391741071,278.8784066,0.1875,0.039736162,0,0,1,0,0,1,0,0,0.13227,-1.834883,4.14368,-0.749996,-2.042101,0.876104415,6.264401168,0.015864363,2.116991549,7.706784155,10.896866,10.896866,7.714507,90,90,90,916.0335881,0.992266151,0.995699444,0.807747455,P4mm,13[C4v],99,8,102.42276,-2.287098,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.671022073
Ba,Pr,Bi,Co,Sc,0.5,0.5,0,0.9375,0.0625,1.465,0.5575,0.66,0.0465625,0.805,0.5109375,1.3159375,2.627802691,1.575535168,0.450511945,0.083520179,0.536927096,-32,-61.125,-25,-1.125,-7,-60,-67,0.523517382,0.116666667,0.78125,0.018404908,0.389925373,2.5,3.0,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1770.875,602,113.375,500,1657.5,2157.5,0.62229124,0.301659125,0.546279492,0.064022023,0.331575898,2853,3193.9375,1781.5,193.9375,1071.5,3000.0,4071.5,0.893254799,0.357166667,0.624430424,0.060720506,0.485186663,139.117325,58.05961938,70.453825,2.809744375,68.6635,55.249875,123.913375,2.396111557,1.242781092,0.506434587,0.048394123,0.591248276,5.075,8.5303125,3.32,0.1865625,1.755,8.34375,10.09875,0.594937173,0.210337079,0.654187192,0.021870535,0.34722738,515,752.0625,263.5,39.5625,251.5,712.5,964.0,0.684783512,0.352982456,0.511650485,0.052605335,0.314380187,1.01,1.8475,0.565,0.085,0.445,1.7625,2.2075,0.546684709,0.25248227,0.559405941,0.046008119,0.294450736,2210,1842.1875,1250,150.0,960,1692.1875,2652.1875,1.199660729,0.567313019,0.56561086,0.081424936,0.527866148,-623.504,-230.8421875,-389.4985,-51.5565625,-234.0055,-179.285625,-413.291125,2.700996758,1.30521061,0.624692865,0.223341162,1.067177677,1.034922569,0.398214286,271.2908783,0.25,0.034922569,0,0,1,0,0,1,0,0,0.132095,-1.898203,3.085991,-0.383245,-2.256986,0.876257747,6.673890679,0.045684738,1.46703741,9.55424922,10.89932,10.89932,7.708263,90,90,90,915.7044633,0.99348389,1.001907534,0.808941191,P4mm,13[C4v],99,8,103.144549,-2.361883,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,1.027880557
Ba,Pr,Bi,Co,Sn,0.5,0.5,0,0.9375,0.0625,1.465,0.5540625,0.66,0.043125,0.805,0.5109375,1.3159375,2.644106035,1.575535168,0.450511945,0.077834179,0.53431489,-32,-66.6875,-25,-6.6875,-7,-60,-67,0.479850047,0.116666667,0.78125,0.100281162,0.472947761,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1689.0625,602,31.5625,500,1657.5,2157.5,0.652432932,0.301659125,0.546279492,0.018686401,0.293655852,2853,3179.6875,1781.5,179.6875,1071.5,3000.0,4071.5,0.897257985,0.357166667,0.624430424,0.056511057,0.481686725,139.117325,62.66925,70.453825,7.419375,68.6635,55.249875,123.913375,2.219865803,1.242781092,0.506434587,0.118389402,0.628448705,5.075,8.800625,3.32,0.456875,1.755,8.34375,10.09875,0.576663589,0.210337079,0.654187192,0.051913927,0.373994306,515,756.8125,263.5,44.3125,251.5,712.5,964.0,0.680485589,0.352982456,0.511650485,0.058551491,0.319307573,1.01,1.885,0.565,0.1225,0.445,1.7625,2.2075,0.535809019,0.25248227,0.559405941,0.064986737,0.311438279,2210,1817.1875,1250,125.0,960,1692.1875,2652.1875,1.21616509,0.567313019,0.56561086,0.068787618,0.518439967,-623.504,-204.284125,-389.4985,-24.9985,-234.0055,-179.285625,-413.291125,3.052141227,1.30521061,0.624692865,0.122371232,1.002917737,1.036743158,0.395758929,277.2475854,0.21875,0.036743158,0,0,1,0,0,1,0,0,0.140264,-1.667846,3.499162,-0.200691,-1.913869,0.869128755,5.300737702,0.030222699,1.222247039,6.779267108,10.898107,10.898107,7.713329,90,90,90,916.1023371,0.988913458,0.994592827,0.808201274,P4mm,13[C4v],99,8,104.411805,-2.139283,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.753996406
Ba,Pr,Bi,Co,Ta,0.5,0.5,0,0.9375,0.0625,1.465,0.5509375,0.66,0.04,0.805,0.5109375,1.3159375,2.6591038,1.575535168,0.450511945,0.072603517,0.531940157,-32,-61.9375,-25,-1.9375,-7,-60,-67,0.516649849,0.116666667,0.78125,0.031281534,0.402052239,2.5,3.125,1.5,0.3125,1,2.8125,3.8125,0.8,0.355555556,0.6,0.1,0.475409836,1102,1863.125,602,205.625,500,1657.5,2157.5,0.591479369,0.301659125,0.546279492,0.110365649,0.37433372,2853,3358.1875,1781.5,358.1875,1071.5,3000.0,4071.5,0.849565428,0.357166667,0.624430424,0.106660959,0.525528061,139.117325,66.5591175,70.453825,11.3092425,68.6635,55.249875,123.913375,2.090131754,1.242781092,0.506434587,0.169912747,0.659840534,5.075,9.384375,3.32,1.040625,1.755,8.34375,10.09875,0.540792541,0.210337079,0.654187192,0.110889111,0.43179849,515,760.0625,263.5,47.5625,251.5,712.5,964.0,0.677575857,0.352982456,0.511650485,0.062577091,0.322678942,1.01,1.85625,0.565,0.09375,0.445,1.7625,2.2075,0.544107744,0.25248227,0.559405941,0.050505051,0.298414496,2210,1810.9375,1250,118.75,960,1692.1875,2652.1875,1.220362381,0.567313019,0.56561086,0.06557377,0.516083422,-623.504,-231.1314375,-389.4985,-51.8458125,-234.0055,-179.285625,-413.291125,2.697616589,1.30521061,0.624692865,0.224313114,1.067877546,1.038403807,0.393526786,282.3625385,0.1875,0.038403807,0,0,1,0,0,1,0,0,0.118279,-1.927893,4.337914,-1.048989,-2.177402,0.888448141,6.875009326,0.013063751,2.854763493,8.823353384,10.904152,10.904152,7.712443,90,90,90,917.0135668,0.991429486,0.99657426,0.807095025,P4mm,13[C4v],99,8,103.335925,-2.378302,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.895110594
Ba,Pr,Bi,Co,Y,0.5,0.5,0,0.9375,0.0625,1.465,0.5671875,0.66,0.05625,0.805,0.5109375,1.3159375,2.58292011,1.575535168,0.450511945,0.099173554,0.544288768,-32,-61.875,-25,-1.875,-7,-60,-67,0.517171717,0.116666667,0.78125,0.03030303,0.401119403,2.5,3.0,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1769.9375,602,112.4375,500,1657.5,2157.5,0.622620855,0.301659125,0.546279492,0.063526254,0.331141367,2853,3226.125,1781.5,226.125,1071.5,3000.0,4071.5,0.884342671,0.357166667,0.624430424,0.070091828,0.493092226,139.117325,60.80649063,70.453825,5.556615625,68.6635,55.249875,123.913375,2.287869659,1.242781092,0.506434587,0.091381949,0.61341595,5.075,8.62325,3.32,0.2795,1.755,8.34375,10.09875,0.588525208,0.210337079,0.654187192,0.032412374,0.356430251,515,750.0,263.5,37.5,251.5,712.5,964.0,0.686666667,0.352982456,0.511650485,0.05,0.312240664,1.01,1.83875,0.565,0.07625,0.445,1.7625,2.2075,0.5492862,0.25248227,0.559405941,0.041468389,0.290486976,2210,1861.1875,1250,169.0,960,1692.1875,2652.1875,1.187413949,0.567313019,0.56561086,0.090802243,0.535030046,-623.504,-230.8296875,-389.4985,-51.5440625,-234.0055,-179.285625,-413.291125,2.701143023,1.30521061,0.624692865,0.223299104,1.067147431,1.029826048,0.405133929,271.9774867,0.25,0.029826048,0,0,1,0,0,1,0,0,0.145255,-1.68919,3.222192,-0.235019,-1.959194,0.864801741,5.415092703,0.039867573,1.264932802,7.093607313,10.899167,10.899167,7.725229,90,90,90,917.6941773,0.998196707,1.009857066,0.808627392,P4mm,13[C4v],99,8,106.877929,-2.163013,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.878744433
